csi_index,ltf_block,ltf_local_index,stable_mean,empty_mean,mean_abs_difference,stable_std,empty_std,stable_median,empty_median,stable_iqr,empty_iqr,stable_frame_diff,empty_frame_diff,effect_score
38,LLTF,38,21.18267371639353,16.54018993412555,4.6424837822679805,3.408186678989849,4.068851427756073,21.95449840010015,18.027756377319946,1.5372323037283167,1.6521553263430029,2.48799675114184,3.619823103564603,1.2369781787996863
39,LLTF,39,20.85407712733289,16.268000301270792,4.586076826062097,3.3612308863451053,3.9817412062492057,21.540659228538015,17.69180601295413,1.5880751830862145,1.5945051364456084,2.4246225325327133,3.539081372078507,1.2446702884488143
40,LLTF,40,20.58351691083416,16.071782398360657,4.511734512473502,3.3085784500312756,3.9234651450082136,21.213203435596427,17.46424919657298,1.7060416687835627,1.6183477738041923,2.396576124080466,3.4780105703413047,1.2432212419946118
41,LLTF,41,20.625593661079233,16.14867889575352,4.476914765325713,3.2546045387580698,3.9453474583253514,21.2602916254693,17.4928556845359,1.626637491174101,1.6953422336478106,2.3940868578258256,3.4878630673795823,1.2379119419507412
42,LLTF,42,20.993969619672956,16.535727199163812,4.458242420509144,3.2626014193499357,4.052241360016228,21.840329667841555,18.027756377319946,1.5520277283130852,1.6815416922694055,2.4594418235674778,3.6109202521948873,1.2119168736553174
43,LLTF,43,21.39572997667895,16.86718705500583,4.528542921673122,3.2743057658746566,4.118699915604006,22.135943621178654,18.35755975068582,1.752296207862738,1.987730405919109,2.492115027590388,3.6618305618312386,1.217175067971513
44,LLTF,44,20.895085613693375,16.523787760650098,4.371297853043277,3.1627167546644936,4.039866193883368,21.540659228538015,18.0,1.7451516469095942,1.6815416922694055,2.4557867272073826,3.6139108854605824,1.2049118141520234
45,LLTF,45,20.696934758943666,16.363463660374897,4.3334710985687686,3.14542813497671,3.990448021400693,21.37755832643195,17.72004514666935,1.4994617524005207,1.676034300345563,2.4199405473378346,3.595405065575282,1.206131624332147
46,LLTF,46,20.884700535393478,16.539857774773928,4.344842760619549,3.183088291992568,4.045256460856236,21.540659228538015,18.027756377319946,1.7451516469095942,1.7882942280559355,2.4653973726173395,3.6269727650022907,1.1937067990792032
47,LLTF,47,21.228585481469292,16.812290865045494,4.416294616423798,3.2466445588300186,4.103937250359944,22.0,18.35755975068582,1.7797124603541192,2.0169656839077383,2.487218898518317,3.6477668395249845,1.1935277142904963
48,LLTF,48,21.981725432912736,17.472264821373795,4.509460611538941,3.4331869774736683,4.249507623556924,22.80350850198276,19.026297590440446,1.776092168655314,1.9185891085511635,2.5553125852945535,3.7682478133327586,1.167355583255518
49,LLTF,49,21.77363553544752,17.295695098515964,4.477940436931558,3.3996872003569987,4.2210633243698625,22.47220505424423,18.867962264113206,1.788496145642128,1.9550766914343676,2.524179634366279,3.764042792768014,1.1684295574350887
50,LLTF,50,20.910061202593734,16.58230088191091,4.327760320682824,3.189750234023808,4.050957406133492,21.587033144922902,18.027756377319946,1.7451516469095942,1.7882942280559355,2.4196164788761783,3.6189552519721615,1.1870303044476536
51,LLTF,51,19.998592590427297,15.830176335852764,4.168416254574533,3.0202305470111814,3.843769017026592,20.615528128088304,17.204650534085253,1.5975451906854445,1.8754845034029017,2.3528951343235645,3.4491611075600273,1.2059249142555277
52,LLTF,52,19.148313770971644,15.09077352385466,4.057540247116984,2.873889072321738,3.6432306221190665,19.849433241279208,16.278820596099706,1.5446185676729165,1.7909489498567055,2.263631379237205,3.2671618238345435,1.2366076810701858
53,LLTF,53,18.645988320255814,14.660930084416586,3.9850582358392277,2.7887818241544764,3.576373817860755,19.235384061671343,16.0312195418814,1.615223689149765,1.7772482297747327,2.193046118309173,3.2230747771743635,1.2426712140514686
54,LLTF,54,18.07469475389515,14.114542694103433,3.960152059791719,2.729986543500033,3.4586006736011385,18.681541692269406,15.264337522473747,1.4246640958296481,1.7133984786050451,2.167629022899085,3.11168400342107,1.2710452525855391
55,LLTF,55,17.98105067192512,13.959661450058283,4.021389221866839,2.7214281135482454,3.4300846737670905,18.439088914585774,15.132745950421556,1.4308902469064861,1.6692526771109453,2.1438051414925474,3.1083944729464412,1.2988570039197074
56,LLTF,56,18.217830258013894,14.015272353406544,4.20255790460735,2.7407604239098244,3.446543212059803,18.867962264113206,15.231546211727817,1.3887314616276534,1.8185491383295034,2.195175936423564,3.1142477331784177,1.3496930399385079
57,LLTF,57,17.55899151551441,13.373292692017637,4.185698823496773,2.575947785768098,3.235052530691107,18.110770276274835,14.317821063276353,1.663311730027953,1.6300757029923734,2.087399586186713,2.935379678321725,1.4314339315018347
58,LLTF,58,17.027242754789356,12.96554411470421,4.061698640085146,2.4619121734046057,3.1356550517247777,17.4928556845359,14.035668847618199,1.2777248424175198,1.8276639369132077,2.0413098240179517,2.8705291501054235,1.4408376606211935
59,LLTF,59,4.336088502800324,3.328825976935643,1.007262525864681,0.827455956140661,0.8983444986789472,4.47213595499958,3.605551275463989,1.0,1.1231056256176606,0.8732347416338765,0.966355573049007,1.166315446949271
60,LLTF,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,LLTF,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,LLTF,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,LLTF,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,HT-LTF,0,1.4158524311869307,1.5769154530540994,0.1610630218671687,0.11189532916495533,0.5860835806337913,1.4142135623730951,1.4142135623730951,0.0,0.0,0.026215587783981645,0.3287964017469535,0.3817481845843659
65,HT-LTF,1,4.4580507553738915,5.442711623369224,0.9846608679953324,0.858509216641117,1.7781645639495016,4.47213595499958,5.0,1.0,1.4142135623730958,0.9286745448891128,1.7035697875977813,0.7052290965051118
66,HT-LTF,2,34.813312569502976,40.97437930434896,6.161066734845981,3.562471265488631,6.650410286493576,34.48187929913333,39.20459156782532,2.1534563391522212,1.9868443825035769,2.94482641317073,6.073789164984584,1.1548928042640576
67,HT-LTF,3,35.37077743563945,41.31447021832238,5.94369278268293,3.6276643473351213,6.567212142306968,35.11409973215888,39.59797974644666,2.0433107078121537,1.9608441568429242,2.9338979850364475,5.970664862691276,1.1203728565942392
68,HT-LTF,4,35.74677204250238,41.18435255755011,5.437580515047735,3.60012617384298,6.476921723628044,35.4400902933387,39.395431207184416,2.030079111012732,1.6935968156660692,2.910543807735818,5.856358597479769,1.0377418885310776
69,HT-LTF,5,35.09250632299615,39.89113274747586,4.798626424479707,3.5356570562172442,6.470190782639816,34.785054261852174,38.0,1.6304470705591356,1.7330960564441042,2.8361981902953968,5.809292907315996,0.9203971816907704
70,HT-LTF,6,34.346666724582136,38.50047731750926,4.1538105929271225,3.461947818276326,6.3399935750275915,34.0147027033899,36.68787265568828,1.9848519615616453,2.003017054792032,2.901406270001843,5.763536521496786,0.8132183091569499
71,HT-LTF,7,34.80284020912224,38.54530937059348,3.7424691614712415,3.498411302860929,6.332843973425824,34.46011500728923,36.71511950137164,2.081960415214837,1.9588368882297758,2.927561699395795,5.77519404913936,0.7315442942522619
72,HT-LTF,8,35.285774413648184,38.50223362203454,3.216459208386354,3.5591095179124563,6.215414717741967,34.9857113690718,36.76955262170047,1.9615206450782026,1.9610168795302556,2.9580145056719593,5.685908010320223,0.6350970818062477
73,HT-LTF,9,35.35547309240222,38.033961097678414,2.6784880052761935,3.5748875933964874,6.147457246174484,35.014282800023196,36.24913792078372,2.058032518038921,1.9877582242397196,2.972487691629984,5.613611748901957,0.5326644464743562
74,HT-LTF,10,34.25547389185303,36.33672459683142,2.0812507049783875,3.4532405169903186,5.949018851197829,33.97057550292606,34.655446902326915,2.034729986348907,2.0083923967068316,2.8974871189968874,5.428092212034465,0.4278945769106155
75,HT-LTF,11,33.537698522903106,35.09948773121726,1.5617892083141527,3.4014446573987143,5.811405553714588,33.24154027718932,33.301651610693426,1.9917789717756307,2.093609817730041,2.863526186714193,5.3115249644145175,0.32800905478037773
76,HT-LTF,12,33.43350083380228,34.53666053415394,1.1031597003516609,3.4177078273591004,5.705444310443429,33.06055050963308,32.802438933713454,2.0431515446885626,2.152660464765173,2.8857682019727684,5.226277778051623,0.23457464312321372
77,HT-LTF,13,33.41954689341563,34.02759243838637,0.6080455449707429,3.41873660546522,5.610040333374586,33.06055050963308,32.31098884280702,2.0431515446885626,2.2201001357651933,2.8734487445848327,5.1522830219389935,0.1308907084399456
78,HT-LTF,14,33.79029632969624,33.8813919167907,0.09109558709445764,3.44632101869041,5.479957315632131,33.37663853655727,32.28002478313795,2.1273618726381045,2.135639832930657,2.9076478943788655,5.055346651641216,0.019900717565936372
79,HT-LTF,15,34.354835128324396,34.02468364859152,0.3301514797328764,3.5075181224678698,5.618519142955113,34.0147027033899,32.4191154802896,2.0151549950587153,2.055719009825623,2.9638165122115847,5.141823964013003,0.07049239192991148
80,HT-LTF,16,35.42946065033846,34.66390383162548,0.7655568187129802,3.629775991115701,5.881772075593735,35.05709628591621,32.89376840679705,2.069377593742864,2.0587727318528053,3.0368032664386044,5.348139022564479,0.15664352889219865
81,HT-LTF,17,36.51220582204052,35.207113875274906,1.3050919467656144,3.757350409203324,5.8423273352636995,36.131702867781094,33.52610922848042,2.1214223865411697,1.9677118110647243,3.103890055520025,5.307886133893052,0.2657084280207703
82,HT-LTF,18,36.821744911050025,34.9559561214852,1.8657887895648244,3.75259642572518,5.578685687193954,36.40054944640259,33.301651610693426,2.1421355338380437,2.085655771741216,3.1034928198886824,5.102921662339154,0.39245549857645873
83,HT-LTF,19,36.154980467073734,34.01782038798575,2.137160079087984,3.655411997577742,5.703506400590756,35.84689665786984,32.31098884280702,2.1472270500346013,1.9816822691894203,3.0779416111389932,5.173102334750383,0.4461526263383875
84,HT-LTF,20,36.11471711269402,33.661178840375264,2.4535382723187524,3.626381061668053,5.861711006797098,35.805027579936315,31.906112267087632,2.2365171344213124,2.0151480384383547,3.0759583327078936,5.275245914831646,0.5034008780627715
85,HT-LTF,21,37.68348785294809,34.62117078304116,3.062317069906932,3.807758353615297,5.747578238633425,37.33630940518894,32.89376840679705,2.202752057096717,2.1056821145118896,3.2086611982349704,5.217820022548809,0.6281515520966745
86,HT-LTF,22,37.81897495454268,34.30059434017991,3.518380614362769,3.8458829993268786,5.485599100120908,37.48332962798263,32.69556544854363,2.2492275707930176,2.1910933441621125,3.2579679333165017,5.029406605721453,0.742709104782451
87,HT-LTF,23,35.630869648967185,32.11015173305123,3.5207179159159523,3.592656359692645,5.377275377727371,35.34826657673598,30.479501308256342,2.1765691321340697,2.093130481216992,3.0812219948238337,4.901214144609807,0.7699143713322261
88,HT-LTF,24,35.07193966700412,31.39049010403842,3.681449562965703,3.541713475266662,5.361527381486548,34.785054261852174,29.832867780352597,2.1941171079144297,2.0424802192490894,3.0279182558780637,4.875581762698944,0.8102386113592972
89,HT-LTF,25,36.00327996327583,32.01833198498197,3.98494797829386,3.642663577337403,5.328896456910738,35.73513677041127,30.479501308256342,2.249521940243156,1.9897545965096803,3.1110634978121405,4.88340214952776,0.8730639253985882
90,HT-LTF,26,36.26493610275486,32.121453389519786,4.143482713235073,3.6484060941336898,5.327411505566617,36.05551275463989,30.59411708155671,2.2868900845804347,1.870990815748364,3.1109255898023287,4.870964833094869,0.9075137734629416
91,HT-LTF,27,36.19128692656806,31.933031282131996,4.2582556444360655,3.6362227534208444,5.340160282066878,36.013886210738214,30.4138126514911,2.2227309268446334,1.8940693452915731,3.1108235993025377,4.866349386257271,0.9321235559858875
92,HT-LTF,28,36.49361949881049,32.128121212856605,4.365498285953883,3.7089521811382573,5.433828153991628,36.22154055254967,30.479501308256342,2.192923993395212,1.8540635308268492,3.152617548086194,4.937547020214332,0.938406640275393
93,HT-LTF,29,38.04679120805326,33.4039052525149,4.642885955538354,3.884800995007895,5.617164876897951,37.73592452822641,31.78049716414141,2.3421988582437905,1.950835106819671,3.2902276451025867,5.093683084828504,0.9613999524021445
94,HT-LTF,30,39.99973213225342,35.055841468080665,4.943890664172756,4.085324899262883,5.878771777777059,39.698866482558415,33.28663395418648,2.4309464560859624,2.085655771741216,3.42954314372065,5.3229772333073875,0.9766469780211741
95,HT-LTF,31,40.75621718707596,35.663029509432334,5.093187677643627,4.1563254255118585,5.930933005532212,40.44749683231337,33.95585369269929,2.3876646827065855,1.9848519615616453,3.45856318426788,5.353723044413679,0.9945526083922512
96,HT-LTF,32,41.03598712770035,35.927759089057126,5.108228038643226,4.187749258264145,6.2523786003080035,40.80441152620633,34.0,2.323538684592627,1.929470512948626,3.4436967591653644,5.58219836038078,0.9599839669886915
97,HT-LTF,33,38.55509674931496,33.68275628523778,4.872340464077183,3.927184784758363,5.74814096964132,38.2099463490856,31.953090617340916,2.3391652730836086,2.072640930838343,3.3443520991960956,5.194657447133563,0.9897908246765029
98,HT-LTF,34,40.03674064518254,34.891950839866716,5.144789805315824,4.082044652787492,5.851390108946845,39.698866482558415,33.24154027718932,2.594465177120732,2.172046453484583,3.5001104002847847,5.3221517055182295,1.019801931389352
99,HT-LTF,35,41.07470471100672,35.68502412515946,5.389680585847259,4.192375576861102,5.935279881987594,40.80441152620633,34.0,2.664251263091323,2.1292547272175923,3.56561224903678,5.3989947940569225,1.0489297977773162
100,HT-LTF,36,41.26512851927293,35.852288760632355,5.4128397586405725,4.220519461405974,6.1635148116288505,41.036569057366385,34.0147027033899,2.6164718680155943,2.0989516937205224,3.5929409053250234,5.547135181052137,1.0247465286833262
101,HT-LTF,37,41.265320573764626,35.8040788720207,5.461241701743923,4.224039078461197,6.154299999676587,41.048751503547585,34.0147027033899,2.654565766891153,2.0419482474778547,3.589042378123814,5.541395564572345,1.03468694357216
102,HT-LTF,38,41.3835487604607,35.86019597445063,5.523352786010065,4.2303649879852046,6.055612208705564,41.10960958218893,34.058772731852805,2.6006423757284622,2.0082090176651803,3.5831731163190974,5.460642571176542,1.0574382647894476
103,HT-LTF,39,40.87058383548444,35.40186838268888,5.468715452795557,4.157262419096978,5.933175223796472,40.607881008493905,33.61547262794322,2.542020306637575,1.9598814537832823,3.5108663591468283,5.345967638123846,1.067532419609815
104,HT-LTF,40,40.41651323312369,35.076463381202764,5.340049851920924,4.126428697598248,5.976961194713271,40.19950248448356,33.24154027718932,2.638841458846244,1.8942739101671222,3.4724765776449997,5.365607407905538,1.0397836624071912
105,HT-LTF,41,40.65543749291557,35.393556249764174,5.261881243151393,4.1598786582753915,6.086016723242285,40.311288741492746,33.54101966249684,2.4707771782315646,1.8756975686351183,3.5265014800135055,5.449362148937232,1.0094376057184447
106,HT-LTF,42,41.45646579607141,36.21723568360228,5.23923011246913,4.227785984000894,6.219349697079887,41.14608122288197,34.36568055487916,2.629965329753013,2.0069734893509903,3.6209237935627656,5.5948474515764826,0.9852556759532334
107,HT-LTF,43,41.630462795533575,36.4196481276227,5.210814667910874,4.236063659390835,6.191058664361925,41.30375285612676,34.539832078341085,2.727540388634438,2.092541362326614,3.6357843137992525,5.583582137950236,0.9823559549045773
108,HT-LTF,44,41.034671168171016,35.973399681904546,5.06127148626647,4.182114233650458,6.177519835280011,40.80441152620633,34.132096331752024,2.6579827171949546,2.1068395842586796,3.5926360653380938,5.581518760358303,0.9594777396514674
109,HT-LTF,45,41.729339004118394,36.62497289596918,5.104366108149215,4.264707203783985,6.310361534421149,41.43669871020132,34.785054261852174,2.6606760690162474,2.168390555166482,3.671442730758803,5.687227806384492,0.9477884399892244
110,HT-LTF,46,42.45209764198457,37.35056159917214,5.101536042812434,4.3423211142092395,6.45368091328703,42.190046219457976,35.4682957019364,2.7257891150905493,2.1308946269101554,3.728006710684465,5.801311416325715,0.9275079331220725
111,HT-LTF,47,42.314332911262625,37.262504462380655,5.05182844888197,4.330425017060227,6.4036187468748,42.05948168962618,35.35533905932738,2.735197758569022,2.0348688915234305,3.7008346292518555,5.767366962617732,0.9241920839431936
112,HT-LTF,48,42.341564525209094,37.2993964005082,5.042168124700893,4.336049256141136,6.410798495172788,42.1070065428546,35.38361202590826,2.735197758569022,1.9621987309574678,3.701423098310821,5.755136080819787,0.9213404529225955
113,HT-LTF,49,41.71625212200876,36.71557505369954,5.000677068309223,4.2730890983983,6.312495600507332,41.48493702538308,34.92849839314596,2.6379120787934838,2.0996590619405993,3.6604629345321675,5.678723801172536,0.9277479159296947
114,HT-LTF,50,40.47184666076512,35.624599808102865,4.847246852662252,4.135874529757433,6.198118452225446,40.26164427839479,33.94112549695428,2.5949578007985252,2.171819684827561,3.5495331800048713,5.574990426540745,0.9199772205944512
115,HT-LTF,51,38.92982297019326,34.214430437432235,4.715392532761022,3.972027390467352,5.958210769686917,38.8329756778952,32.526911934581186,2.501803125776732,2.1254722922652576,3.414616411440045,5.3521036953633025,0.9312587604827482
116,HT-LTF,52,37.77861383688642,33.07178196740237,4.7068318694840485,3.859280857951159,5.715428283082573,37.57658845611187,31.38470965295043,2.4152553687027947,1.9744568299121923,3.3244359795868035,5.134265132646612,0.9652103888232259
117,HT-LTF,53,37.33359892558713,32.51991923393241,4.81367969165472,3.8265184779290538,5.582332823406379,37.12142238654117,31.016124838541646,2.5420333717514865,2.0,3.2883650178121666,5.021940628024645,1.0058593177185078
118,HT-LTF,54,35.916744128665506,31.13003205385615,4.786712074809355,3.7021286955814348,5.41367483313664,35.6931365951495,29.68164415931166,2.4982266605143764,1.8930329183947876,3.2170070041036185,4.88219486429246,1.0321652769418261
119,HT-LTF,55,34.73843238369963,29.92439460723689,4.81403777646274,3.605447143206707,5.283473365723062,34.48187929913333,28.42534080710379,2.3624049874427016,2.128940911357251,3.135419523786817,4.797511140160873,1.0643555211322306
120,HT-LTF,56,34.90508949894777,29.79849340610293,5.1065960928448355,3.621640082330407,5.209931462747567,34.713109915419565,28.319604517012593,2.451596317960174,2.17386132146045,3.1575123944565253,4.744138235395711,1.1381812849961954
121,HT-LTF,57,34.53936089862932,29.269389639629694,5.269971258999625,3.5829499388140564,5.115025499569857,34.36568055487916,27.784887978899608,2.3411940941445835,2.0927519058525803,3.1233686387839836,4.636127439086762,1.1933979388445346
122,HT-LTF,58,33.92243533520744,28.545105507113387,5.377329828094052,3.517133200082392,5.060806167018261,33.734255586866,27.018512172212592,2.4330851322816187,2.101195986400146,3.0688068139729316,4.589405330540993,1.2339365950137877
123,HT-LTF,59,8.509865728886048,7.319253913240448,1.1906118156455996,1.1419091443917968,1.9360746127381543,8.48528137423857,7.0,1.2451354622307633,1.5330105755656893,1.1752709427650754,1.8575651602227896,0.7490983515263298
124,HT-LTF,60,0.9005374567024661,1.026365402763468,0.125827946061002,0.6918816269816367,0.8001533782169482,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.6951489706204378,0.8301566933195869,0.16822386859757535
125,HT-LTF,61,0.7293769113357658,0.7614612971140278,0.032084385778262,0.7041797354425974,0.7087556190521128,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,0.727833174935534,0.7654362197815051,0.04541498296024958
126,HT-LTF,62,0.6960242628890982,0.7650671300360217,0.06904286714692343,0.7097479181994255,0.7579004165450972,0.0,1.0,1.4142135623730951,1.4142135623730951,0.7179181659045644,0.8167018302881983,0.0940357916941882
127,HT-LTF,63,0.707341481913187,0.7192107603483491,0.011869278435162056,0.7063497862848698,0.7062209866396929,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.7130867759440231,0.7585831339166567,0.016805215870703088
128,HT-LTF,64,0.6445906074151564,0.6411093663653945,0.003481241049761885,0.7020010910660552,0.7009854565711247,0.0,0.0,1.4142135623730951,1.4142135623730951,0.7222841593050785,0.7476782798665358,0.004962613709252071
129,HT-LTF,65,0.8014381948434655,0.8181113724731753,0.01667317762970988,0.6982736703749893,0.6953935330158627,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.7163080057138538,0.7403678612296427,0.023927006369146603
130,HT-LTF,66,1.072070636532039,1.101682777891619,0.029612141359580013,0.6020570308259733,0.5881832734679738,1.4142135623730951,1.4142135623730951,0.41421356237309515,0.0,0.5700545852327165,0.5182958308919018,0.049754876857441156
131,HT-LTF,67,1.3120607614494186,1.3364627399414095,0.024401978491990883,0.3592353877333577,0.31055522282819575,1.4142135623730951,1.4142135623730951,0.0,0.0,0.19937713116214184,0.14769904942726306,0.07267281029640163
132,HT-LTF,68,1.4081580719154638,1.4197730566173103,0.01161498470184652,0.09374572776210922,0.16530248015498486,1.4142135623730951,1.4142135623730951,0.0,0.0,0.021025329516441496,0.04443842968464358,0.08643722689604148
133,HT-LTF,69,4.00300078767619,5.49874994727839,1.4957491596022,0.9229382168748009,1.251809772222478,4.0,5.385164807134504,1.3098582948312,1.6106265752986397,0.926970127330836,1.301759866804944,1.3600972289548607
134,HT-LTF,70,15.674270699145788,21.792102812280074,6.117832113134286,2.413653897053988,3.442045696942104,15.132745950421556,21.02379604162864,1.8066944333207449,1.931712199461309,1.7461264173576043,3.2096054830887826,2.058033565213163
135,HT-LTF,71,14.718332715206323,21.696315825288696,6.9779831100823735,2.351575466944666,3.3832239695665556,14.212670403551895,20.808652046684813,1.8151383467290785,1.840329667841555,1.6691584238700576,3.1665289102388505,2.3951118578801105
136,HT-LTF,72,13.205485755000206,21.389361769922807,8.183876014922602,2.2803949932063206,3.3074977882115277,12.806248474865697,20.591260281974,1.5598759299431482,1.8240278491953887,1.5765959700502281,3.117009146222212,2.88088373953854
137,HT-LTF,73,11.74030070073354,21.240908056572984,9.500607355839444,2.1886211877765773,3.260625482168322,11.40175425099138,20.396078054371138,1.725218551685888,1.9610704874843492,1.493002888471726,3.0839154956760586,3.4213669963988247
138,HT-LTF,74,10.135973465348455,20.928225736724105,10.79225227137565,2.0511119813257204,3.239550842776685,9.848857801796104,20.024984394500787,1.5747606745972327,1.990049935186189,1.3503084020586618,3.0485169827150362,3.980545287221533
139,HT-LTF,75,8.571933239255719,20.71794885039301,12.146015611137292,1.9494547509183513,3.197810668066655,8.06225774829855,20.0,1.7752752488568992,1.854315427380655,1.2617790973300511,2.989251009894687,4.586445481054487
140,HT-LTF,76,7.069425283794898,20.677233358851794,13.607808075056896,1.8288829576301837,3.1392361644849656,6.708203932499369,19.924858845171276,1.1973473589822987,1.7823544562443665,1.1342170791797197,2.94327216676184,5.296909041712001
141,HT-LTF,77,5.657413587416624,20.910426568913422,15.253012981496799,1.7585164167559668,3.162362125011312,5.385164807134504,20.12461179749811,1.6106265752986397,1.91882286708584,1.0604198107249838,2.9843235022148824,5.961457838317505
142,HT-LTF,78,4.3686876982575225,21.455549943525085,17.08686224526756,1.6903217803999973,3.226784875318488,4.123105625617661,20.615528128088304,1.8377223398316205,1.8175763052219942,1.0210791484124186,3.03703335698881,6.633654455025271
143,HT-LTF,79,3.3260807598783986,22.24690128243615,18.92082052255775,1.5735095062380524,3.3471031781043368,3.1622776601683795,21.400934559032695,1.7639320225002102,1.8423952463147053,0.955464832508801,3.1759294319074987,7.234812555111267
144,HT-LTF,80,2.8784891560445134,23.264405867084097,20.385916711039584,1.376898686916537,3.491121670323588,2.8284271247461903,22.47220505424423,0.9262096826685897,1.9462492529492543,0.9117643576879125,3.303780244724129,7.682200172875194
145,HT-LTF,81,3.1101014392871846,24.002642420317613,20.89254098103043,1.1162005750273043,3.578022592432461,3.1622776601683795,23.08679276123039,1.3694832979641993,1.9924671232100692,0.9137792788298065,3.3891741241861686,7.883093941217102
146,HT-LTF,82,3.9933445885857783,24.697175878503618,20.70383128991784,1.0217504120689773,3.643802441151439,4.0,23.706539182259394,1.3098582948312,1.8913144361142358,1.0011232656678517,3.431474724327399,7.737041913366519
147,HT-LTF,83,5.170844410004704,25.45639279032724,20.285548380322535,1.1125777914990436,3.7623214473761837,5.0990195135927845,24.351591323771842,1.5278640450004204,1.9578929760842847,1.0584392328848728,3.5518388131814196,7.312091864801353
